Date,CustomerID,Product,ShippingAddress,PaymentMethod,OrderStatus,CouponCode,ReferralSource,TotalPrice,TotalPrice_computed,Total_same
2023-01-04,C72649,Monitor,928 Main St,Debit Card,Shipped,SAVE10,Instagram,2853.1,2853.1,True
2024-08-23,C75739,Phone,823 Main St,Online,Shipped,SAVE10,Referral,302.7,302.7,True
2024-02-27,C81728,Tablet,512 Main St,Credit Card,Cancelled,FREESHIP,Email,2753.4,2753.4,True
2023-10-15,C33540,Chair,275 Main St,Debit Card,Returned,SAVE10,Facebook,273.19,273.19,True
2025-05-08,C81840,Printer,668 Main St,Online,Delivered,SAVE10,Email,2504.04,2504.04,True
2023-10-23,C37249,Phone,934 Main St,Credit Card,Shipped,SAVE10,Instagram,491.72,491.72,True
2025-06-17,C83492,Laptop,986 Main St,Gift Card,Returned,SAVE10,Facebook,664.42,664.42,True
2023-05-12,C41460,Monitor,706 Main St,Cash,Shipped,FREESHIP,Facebook,747.75,747.75,True
2025-04-02,C26817,Phone,904 Main St,Gift Card,Cancelled,,Email,268.56,268.56,True
2023-11-21,C31946,Desk,102 Main St,Credit Card,Shipped,SAVE10,Google,2037.52,2037.52,True
2023-12-29,C43443,Tablet,333 Main St,Credit Card,Returned,WINTER15,Instagram,3129.85,3129.85,True
2024-02-17,C93861,Monitor,831 Main St,Online,Returned,SAVE10,Email,147.42,147.42,True
2024-10-15,C38785,Monitor,179 Main St,Debit Card,Pending,FREESHIP,Referral,361.0,361.0,True
2023-08-30,C88348,Laptop,903 Main St,Credit Card,Returned,FREESHIP,Facebook,604.47,604.47,True
2023-03-27,C98474,Tablet,980 Main St,Debit Card,Pending,SAVE10,Instagram,786.66,786.66,True
2023-07-17,C39416,Printer,942 Main St,Cash,Delivered,,Google,473.96,473.96,True
2023-01-24,C28976,Printer,914 Main St,Credit Card,Pending,FREESHIP,Email,1067.62,1067.62,True
2024-03-02,C60672,Tablet,382 Main St,Debit Card,Shipped,,Referral,423.4,423.4,True
2025-03-26,C84329,Desk,891 Main St,Gift Card,Pending,SAVE10,Facebook,431.44,431.44,True
2023-01-23,C14552,Monitor,273 Main St,Cash,Returned,SAVE10,Google,1120.0,1120.0,True
2023-05-08,C54829,Chair,587 Main St,Cash,Pending,WINTER15,Instagram,312.55,312.55,True
2024-11-17,C99023,Monitor,569 Main St,Cash,Delivered,,Google,1371.8,1371.8,True
